City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
146,dakar,14.6937,-17.4441,79.68,62,4,14.14,SN,1669663546
147,cockburn town,21.4612,-71.1419,80.17,67,84,9.57,TC,1669663543
148,kalemie,-5.9475,29.1947,71.35,81,100,3.11,CD,1669663637
149,ucluelet,48.9329,-125.5528,39.51,93,3,1.97,CA,1669663638
150,betioky,-23.7167,44.3833,73.26,67,4,5.37,MG,1669663638
151,carnarvon,-24.8667,113.6333,71.8,78,0,13.73,AU,1669663528
152,hasaki,35.7333,140.8333,48.6,64,92,23.06,JP,1669663504
153,partizanskoye,55.5006,94.39,-1.64,88,100,16.78,RU,1669663638
154,erzin,36.9559,36.2,57.83,62,100,8.08,TR,1669663422
155,severo-kurilsk,50.6789,156.125,30.33,74,98,27.38,RU,1669663523
156,carutapera,-1.195,-46.02,85.57,59,58,8.16,BR,1669663527
157,sao joao da barra,-21.6403,-41.0511,78.89,89,64,16.89,BR,1669663563
158,wilmington,34.2257,-77.9447,70.95,54,0,10.36,US,1669663638
159,provideniya,64.3833,-173.3,17.53,89,100,10.8,RU,1669663518
160,constitucion,-35.3333,-72.4167,65.25,69,8,6.93,CL,1669663526
161,vao,-22.6667,167.4833,77.76,86,100,16.58,NC,1669663549
162,tual,-5.6667,132.75,84.33,74,100,14.58,ID,1669663639
163,mount pleasant,32.7941,-79.8626,72.3,50,0,14.97,US,1669663552
164,tiksi,71.6872,128.8694,-27.74,99,47,6.62,RU,1669663549
165,yashkul,46.1711,45.3435,34.32,42,19,10.0,RU,1669663639
166,urubicha,-15.3833,-62.95,104.56,14,1,3.04,BO,1669663639
167,alice springs,-23.7,133.8833,56.75,82,0,2.3,AU,1669663299
168,hofn,64.2539,-15.2082,35.62,100,100,5.75,IS,1669663554
169,castro,-24.7911,-50.0119,60.78,97,100,9.44,BR,1669663266
170,kudahuvadhoo,2.6708,72.8944,80.55,69,99,6.4,MV,1669663503
171,kinston,35.2627,-77.5816,69.98,42,0,10.36,US,1669663423
172,oranjemund,-28.55,16.4333,64.06,87,80,11.32,NA,1669663639
173,plauen,50.5,12.1333,38.77,88,100,3.0,DE,1669663639
174,ponta do sol,32.6667,-17.1,68.72,78,48,8.61,PT,1669663522
175,cherskiy,68.75,161.3,0.37,96,100,4.74,RU,1669663536
176,sheltozero,61.3667,35.3667,22.21,87,100,7.78,RU,1669663639
177,tuatapere,-46.1333,167.6833,53.37,77,100,3.42,NZ,1669663551
178,new norfolk,-42.7826,147.0587,45.72,69,36,1.99,AU,1669663522
179,zholymbet,51.7433,71.7122,-12.57,84,15,6.8,KZ,1669663640
180,zhanaozen,43.3,52.8,41.52,72,97,4.27,KZ,1669663640
181,butaritari,3.0707,172.7902,80.83,76,17,7.54,KI,1669663505
182,bowen,-20.0167,148.2333,77.56,86,100,4.21,AU,1669663640
183,tuktoyaktuk,69.4541,-133.0374,-20.2,76,20,6.91,CA,1669663507
184,snyder,32.7179,-100.9176,68.32,32,0,16.11,US,1669663640
